Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-10 (Americom-10  GE 10),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-134.97,"35,775","35,797",2.61E-04,0.01,1436.09,"2,315",907,6 500 (EOL),12/16/2589,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-11 (Americom-11  GE 11),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340",2 316 (BOL),6 500 (EOL),,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-15 (Americom-15),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-105.04,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",,,,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-16 (Americom-16),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",,,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18 (Americom 18),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",918,,1/4/5410,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-2 (Americom 2  GE-2),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648","1,600",6 500 (EOL),9/28/5464,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21 (Americom 21),United Kingdom,USA,SES World Skies,Commercial,Communications,,GEO,,-124.86,"35,778","35,793",1.78E-04,3,1436.1,"2,500",,"5,000",,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-3 (Americom 3  GE-3),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-86.96,"35,777","35,795",2.13E-04,0.02,1436.08,"2,845","1,600",6 500 (EOL),2/4/4479,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-4 (Americom-4  GE-4),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-100.99,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909","2,500",,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-6 (Americom-6  GE-6),USA,USA,SES World Skies,Commercial,Communications,,GEO,,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901","2,500",,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
