Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSS Demo-2 (Space Tracking and Surveillance System Demonstrator),USA,USA,Missile Defense Agency (MDA),Military,Technology Development,,LEO,Non-Polar Inclined,0,"1,339","1,351",7.78E-04,58,112.58,"2,240","1,100",,###############################################################################################################################################################################################################################################################,2-4 yrs.,Northrop Grumman,USA,Cape Canaveral,Delta 2,2009-052B,35938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird 7 (Superbird C2),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,143.77,"35,778","35,794",1.90E-04,0.12,1436.1,"5,000",,,,15 yrs.,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5 ECA,2008-038A,33274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird-B2 (Superbird 4),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162.03,"35,779","35,793",1.66E-04,0.01,1436.09,"4,051","2,160",5 400 (EOL),2/9/7874,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-012A,26095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superview 1-01 (GaoJing 1-01),NR (117),China,Siwei Star Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,530,0.00E+00,97.6,95.1,560,,,###############################################################################################################################################################################################################################################################,8 yrs.,China Aerospace Science and Technology Corp.,China,Taiyuan Launch Center,Long March 2D,2016-083A,41907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superview 1-02 (GaoJing 1-02),NR (117),China,Siwei Star Co. Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,530,530,0.00E+00,97.6,95.1,560,,,###############################################################################################################################################################################################################################################################,8 yrs.,China Aerospace Science and Technology Corp.,China,Taiyuan Launch Center,Long March 2D,2016-083B,41908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-A,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,Polar,0,473,476,2.19E-04,87.3,93.9,468,369,608,###############################################################################################################################################################################################################################################################,4 yrs.,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067B,39452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-B,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,Polar,0,473,476,2.19E-04,87.3,93.9,468,369,608,###############################################################################################################################################################################################################################################################,4 yrs.,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067A,39451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWARM-C,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,Polar,0,486,496,7.29E-04,87.5,94,468,369,608,###############################################################################################################################################################################################################################################################,4 yrs.,Astrium,France,Plesetsk Cosmodrome,Rokot,2013-067C,39453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swayam,NR (1216),India,College of Engineering  Pune,Civil,Technology Development,,LEO,Sun-Synchronous,0,500,518,1.31E-03,97.5,94.7,1,,,###############################################################################################################################################################################################################################################################,,College of Engineering  Pune,India,Satish Dhawan Space Center,PSLV XL,2016-040J,41607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift ,USA,USAUnited KingdomItaly,Goddard Space Flight CenterPenn State University,GovernmentCivil,Space Science,,LEO,Non-Polar Inclined,0,571,590,1.37E-03,20.6,96.3,"1,463",,"1,040",###############################################################################################################################################################################################################################################################,7 yrs.,Spectrum Astro (General Dynamics),USA,Cape Canaveral,Delta 7320,2004-047A,28485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwissCube,NR,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL),Civil,Technology Development,,LEO,Sun-Synchronous,0,710,720,7.06E-04,98.3,99.1,1,,,###############################################################################################################################################################################################################################################################,.25-1 yr.,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,Satish Dhawan Space Center,PSLV,2009-051B,35932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,France,Defense Ministry,Military,Communications,,GEO,,47.05,"35,778","35,792",1.66E-04,0,1436.06,"3,725","1,650","5,640",,12 yrs.,Alcatel Alenia Space,FranceItaly,Guiana Space Center,Ariane 5,2005-041B,28885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,France,Defense Ministry,Military,Communications,,GEO,,-5.17,"35,772","35,801",3.44E-04,0.03,1436.09,"3,750","1,658",,,12 yrs.,Alcatel Alenia Space,FranceItaly,Guiana Space Center,Ariane 5,2006-033B,29273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TacSat 4,USA,USA,Naval Research Laboratory,Military,Technology Development,,Elliptical,Molniya,0,658,"11,836",4.43E-01,63.64,235.16,450,,"1,000",###############################################################################################################################################################################################################################################################,,Naval Research LaboratoryJohns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,2011-052A,37818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TacSat 6,NR,USA,Operational Responsive Space (ORS) Office,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,,,,11/22/5327,,Air Force Research Laboratory (AFRL),USA,Vandenberg AFB,Atlas 5,2013-072M,39473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement),Germany,Germany,German Aerospace Center (DLR)Astrium,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,507,510,2.18E-04,97.4,94.8,"1,350",,,###############################################################################################################################################################################################################################################################,5 yrs.,EADS Astrium,FranceUKGermanySpain,Baikonur Cosmodrome,Dnepr,2010-030A,36605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tango (part of Cluster quartet  Cluster 2 FM8),ESA,ESA,European Space Agency (and 250 international scientific investigators),Government,Space Science,,Elliptical,Deep Highly Eccentric,0,"17,313","120,961",6.86E-01,90.7,"3,442.00","1,200",478,220,3/18/4342,4 yrs.,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045B,26464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TanSat (Tan Weixing  Carbon Satellite),NR (117),China,China Meteorological Administration,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,690,718,1.98E-03,98.1,98.86,620,,,###############################################################################################################################################################################################################################################################,3 yrs.,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,2016-081A,41898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-10 (Tracking and Data Relay Satellite  TDRS-J),USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-40.75,"35,768","35,802",4.03E-04,1.64,1436.04,"3,180","1,600",2 300 (EOL),6/25/5300,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-055A,27566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-11 (Tracking and Data Relay Satellite  TDRS K),USA,USA,National Aeronautics and Space Administration (NASA)Goddard Space Flight Center,Government,Communications,,GEO,,-171.00,"35,732","35,844",1.33E-03,7,1436.18,"3,454","1,600",2 300 (EOL),3/1/5492,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-004A,39070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-12 (Tracking and Data Relay Satellite  TDRS L),USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,0.00,"35,780","35,785",5.93E-05,6.99,1435.88,"3,454","1,600",3 500 (EOL),2/18/5273,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-004A,39504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-3 (Tracking and Data Relay Satellite  TDRS-C) ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,84.41,"35,693","35,878",2.19E-03,11.53,1436.06,"3,180","1,600","1,800",,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-5 (Tracking and Data Relay Satellite  TDRS-E),USA,USA,SES Americom (SES [Société Européenne des Satellites (SES)]),GovernmentCommercial,Communications,,GEO,,-167.14,"35,773","35,796",2.73E-04,9.4,1436.99,"3,180","1,600","1,800",7/13/4150,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-6 (Tracking and Data Relay Satellite  TDRS-F),USA,USA,NASASES Americom (SES [Société Européenne des Satellites (SES)]),GovernmentCommercial,Communications,,GEO,,-171.35,"35,773","35,787",1.66E-04,8.74,1435.7,"3,180","1,600","1,800",4/15/4999,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-7 (Tracking and Data Relay Satellite  TDRS-G),USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-150.53,"35,767","35,803",4.27E-04,10.6,1436.04,"3,180","1,600","1,800",,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-8 (Tracking and Data Relay Satellite  TDRS-H),USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,88.76,"35,768","35,808",4.74E-04,0.9,1436.2,"3,180","1,600",2 300 (EOL),,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDRS-9 (Tracking and Data Relay Satellite  TDRS-I),USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-62.43,"35,768","35,809",4.86E-04,0.02,1436.11,"3,180","1,600",2 300 (EOL),11/18/2945,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechDemoSat-1,United Kingdom,United Kingdom,Technology Strategy Board,Government,Technology Development,,LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,150,,,1/28/4041,,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b,2014-037H,40076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TecSAR (Ofeq 8  Polaris),NR,Israel,Defense Ministry,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,405,580,1.28E-02,41.03,94.5,300,260,,5/12/5218,,Israel Aerospace Industries (IAI),Israel,Satish Dhawan Space Center,PSLV C10,2008-002A,32476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeLEOS 1,NR,Singapore,AgilSpace,Commercial,Earth Observation,Optical Imaging,LEO,Equatorial,0,535,550,1.08E-03,15,95.5,400,,,###############################################################################################################################################################################################################################################################,5 yrs.,ST Electronics Ltd.,Singapore,Satish Dhawan Space Center,PSLV C29,2015-077D,41169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telkom 1 ,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,108.01,"35,778","35,796",2.13E-04,0.02,1436.13,"2,763",1 700 (BOL),"4,000",,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 44P,1999-042A,25880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telkom 2,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,118.02,"35,781","35,793",1.42E-04,0.04,1436.1,"1,930",899,,,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2005-046A,28902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 11N,NR,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-37.05,"35,774","35,801",3.20E-04,0.04,1436.13,"4,010",,,3/1/8093,15 yrs.,Space SystemsLoral,USA,Sea Launch (Odyssey),Zenit 3SLB,2009-009A,34111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 12 (Orion 2),USA,Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,,GEO,,-14.99,"35,773","35,799",3.08E-04,0.05,1436.09,"3,878","1,900","10,600",,13 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 12V (Telstar 12 Vantage),NR,Canada,Telesatd Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-15.00,"35,645","35,727",9.75E-04,0.1,1436.1,"4,900",,,,15 yrs.,Airbus Defense and Space,FranceUKGermanySpain,Tanegashima Space Center,H-2A,2015-068A,41036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 14R (Estrela do Sul 2),Brazil,Canada,Telesat Canada Ltd. (BCE  Inc.),Commercial,Communications,,GEO,,-63.00,"35,783","35,791",9.49E-05,0.02,1436.1,"4,970","2,150","12,000",,15 yrs.,Space SystemsLoral,USA,Baikonur Cosmodrome,Proton,2011-021A,37602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 18 (Apstar 5),NR,Multinational,Loral Skynet Satellite Services (Loral Global Alliance)APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,138.04,"35,778","35,795",2.02E-04,0.01,1436.1,"4,640","2,500",16 000 (EOL),,13 yrs.,Space SystemsLoral,USA,Sea Launch (Odyssey),Zenit 3SL,2004-024A,28364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,Germany,German Aerospace Center (DLR)Infoterra,GovernmentCommercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,507,509,1.45E-04,97.5,94.8,"1,230",,,###############################################################################################################################################################################################################################################################,5 yrs.,EADS Astrium,FranceUKGermanySpain,Baikonur Cosmodrome,Dnepr,2007-026A,31698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerraStar 1,USA,USA,TerraStar Corporation,Commercial,Communications,,GEO,,-111.00,"35,783","35,791",9.49E-05,5.94,1436.11,"6,910",,,5/30/3849,15 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 5 ECA,2009-035A,35496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TET-1 (Technologieerprobungsträger 1  Technology Experiment Carrier),Germany,Germany,German Aerospace Center,Commercial,Technology Development,,LEO,Sun-Synchronous,0,501,505,2.91E-04,97.5,94.7,120,,20,###############################################################################################################################################################################################################################################################,1 yr.,Kayser-Threde GmbH,Germany,Baikonur Cosmodrome,Soyuz-Fregat,2012-039D,38710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-4 (Ipstar 1  Measat 5),NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,119.50,"35,775","35,798",2.73E-04,0,1436.1,"6,505",,"14,000",,12 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 5G,2005-028A,28786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-5,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.54,"35,777","35,796",2.25E-04,0.04,1436.1,"2,800","1,220","5,000",,12 yrs.,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2006-020B,29163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-6,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.50,"35,786","35,796",1.19E-04,0.05,1436.3,"3,325",,,7/30/2343,15 yrs.,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2014-002A,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaicom-8,NR (1216),Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,,GEO,,78.50,"35,843","35,890",5.56E-04,0.03,1440.09,"3,025",,,,15 yrs.,Orbital ATK,USA,Cape Canaveral,Falcon 9,2016-031A,41552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,NASAUniversity of California  Berkeley (in partnership with Germany  France  Austria  Canada),GovernmentCivil,Space Science,,Elliptical,,0,461,"87,304",8.64E-01,15.7,1868.98,126,77,40,10/1/7846,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004A,30580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,NASAUniversity of California  Berkeley (in partnership with Germany  France  Austria  Canada),GovernmentCivil,Space Science,,Elliptical,,0,467,"87,260",8.64E-01,15.7,1867.91,126,77,40,10/1/7846,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004D,30797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,NASAUniversity of California  Berkeley (in partnership with Germany  France  Austria  Canada),GovernmentCivil,Space Science,,Elliptical,,0,474,"87,526",8.64E-01,15.7,1875.53,126,77,40,10/1/7846,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004E,30798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEOS (Thailand Earth Observation System),Thailand,Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,824,826,1.39E-04,98.7,101.4,750,670,840,10/12/4670,5 yrs.,EADS Astrium,France,Dombarovsky Air Base,Dnepr,2008-049A,33396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-3 ,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-4.00,"35,777","35,795",2.13E-04,0.07,1436.07,"1,400",646,"1,400",,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 2,1998-035A,25358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-5 (Thor 2R),Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-0.72,"35,773","35,798",2.97E-04,0.01,1436.1,"2,024",,,6/23/7682,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2008-006A,32487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-6,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-1.00,"35,779","35,794",1.78E-04,0.02,1436.1,"3,050",,"5,900",,15 yrs.,Thales Alenia Space,FranceItaly,Guiana Space Center,Ariane 5,2009-058B,36033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-7,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,,GEO,,-1.00,"35,727","35,741",1.66E-04,0,1433.4,"4,600",,,,15 yrs.,Space SystemsLoral,USA,Guiana Space Center,Ariane 5,2015-022A,40613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuraya 2 ,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,,GEO,,44.13,"35,764","35,807",5.10E-04,2.99,1436.07,"5,250","3,200","11,000",,12 yrs.,Hughes Space and Communications Group,USA,Sea Launch (Odyssey),Zenit 3SL,2003-026A,27825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuraya 3,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,,GEO,,98.60,"35,766","35,807",4.86E-04,5.84,1436.1,"5,180",,,2/1/5054,12 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2008-001A,32404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangong-1 (TG-1),China,China,   Beijing Aerospace Flight Control Center,Government,Technology Development,,LEO,Non-Polar Inclined,0,360,361,7.43E-05,42.8,91.8,"8,506",,,###############################################################################################################################################################################################################################################################,2 yrs.,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2F,2011-053A,37820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-01,China,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,488,504,1.17E-03,97.4,94.5,"2,500",,,###############################################################################################################################################################################################################################################################,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2010-040A,36985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-02,China,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,485,505,1.46E-03,97.4,94.5,"2,500",,,9/25/3438,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2012-020A,38256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-03,NR,China,China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,489,500,8.01E-04,97.36,94.5,"2,500",,,###############################################################################################################################################################################################################################################################,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-061A,40988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TianLian 1 (TL-1-01  CTDRS),China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,77.08,"35,769","35,813",5.22E-04,0.06,1436.08,"3,750",,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TianLian 2 (TL-1-02  CTDRS),China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,176.72,"37,778","37,794",1.81E-04,1,1436.1,"2,250",,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2011-032A,37737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TianLian 3 (TL-1-03  CTDRS),China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,16.86,"35,768","35,802",4.03E-04,2.04,1436,"2,200",,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2012-040A,38730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TianLian 4 (TL-1-04  CTDRS),NR (1216),China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,,GEO,,76.95,"35,778","35,793",1.78E-04,3.06,1436.1,"2,200",,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2016-072A,41869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiantong-1-01,NR (1116),China,China Telecom,Government,Communications,,GEO,,101.43,"35,765","35,805",4.74E-04,4.89,1436.05,,,,9/26/4232,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2016-048A,41725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiantuo-2,NR,China,National University of Defense Technology,Government,Earth ObservationCommunications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,477,493,1.17E-03,97.42,94.31,67,,,8/28/4588,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 4B,2014-053B,40144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiantuo-3 (Luliang 1),NR,China,National University of Defense Technology,Government,Technology Development,,LEO,Sun-Synchronous,0,392,522,9.52E-03,97.42,93.73,20,,,###############################################################################################################################################################################################################################################################,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049A,40899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianwang 1A (TW-1A  SECM-1  Shangkeda-2),NR,China,Shanghai Engineering Center for Microsatellites,Civil,Technology Development,,LEO,Sun-Synchronous,0,466,484,1.31E-03,97.31,94.1,3,,,###############################################################################################################################################################################################################################################################,,Nanjing University of Aeronautics and AstronauticsShanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051D,40928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianwang 1B (TW-1B; NJUST-2),NR,China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,,LEO,Sun-Synchronous,0,466,485,1.39E-03,97.32,94.1,3,,,###############################################################################################################################################################################################################################################################,,Nanjing University of Aeronautics and AstronauticsShanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051C,40927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianwang 1C (TW-1C; NJFA-1),NR,China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,,LEO,Sun-Synchronous,0,466,486,1.46E-03,97.31,94.12,5,,,###############################################################################################################################################################################################################################################################,,Nanjing University of Aeronautics and AstronauticsShanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051B,40926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIGRISat,Iraq,Iraq,La Sapienza University of Rome,Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,611,698,6.19E-03,97.98,97.82,1,,,###############################################################################################################################################################################################################################################################,,La Sapienza University of Rome,Italy,Dombarovsky Air Base,Dnepr,2014-033AK,40043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),USA,USA,NASAApplied Physics Laboratory  Johns Hopkins,GovernmentCivil,Space Science,,LEO,Polar,0,612,613,7.16E-05,74.1,97,587,,406,8/13/5382,2 yrs.,Applied Physics Laboratory  Johns Hopkins,USA,Vandenberg AFB,Delta 2,2001-055B,26998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TISat-1 (Ticano Satellite),NR,Switzerland,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Civil,Technology Development,,LEO,Sun-Synchronous,0,611,631,1.43E-03,98,97.1,1,,,###############################################################################################################################################################################################################################################################,,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Switzerland,Satish Dhawan Space Center,PSLV,2010-035E,36799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJS-1 (Tongxin Jishu Shiyan 1),NR,China,Chinese Academy of Space Technology,Government,Technology Development,,GEO,,155.07,"35,776","35,795",2.25E-04,0,1436.03,,,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-046A,40892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKSat-1 (Túpac Katari Satellite 1),Bolivia,Bolivia,Bolivia Aerospace Bureau,Government,Communications,,GEO,,-87.20,"35,773","35,799",3.08E-04,0.27,1436.07,"5,000",,,,,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2013-075A,39481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
